Expression,Type,Meaning,Priority,Category,OccurrenceCount,Context,FirstSeenAt,LastSeenAt
API migration,phrase,API移行,5,engineering,3,"On my end, I've been working on the API migration.",2025-11-09 08:54:35,2025-11-09 08:58:08
REST endpoints,phrase,RESTエンドポイント,5,engineering,3,We need to deprecate the old REST endpoints by end of Q1.,2025-11-09 08:54:35,2025-11-09 08:58:08
address,word,対処する、扱う,5,business,3,There were some pain points during the last sprint that we should address,2025-11-09 08:54:35,2025-11-09 08:58:07
alerting,word,アラート,5,engineering,3,We need to set up proper alerting for the production environment,2025-11-09 08:54:35,2025-11-09 08:58:07
api,word,API、アプリケーションプログラミングインターフェース,5,engineering,3,"On my end, I've been working on the API migration",2025-11-09 08:54:35,2025-11-09 08:58:07
at scale,phrase,大規模な環境で、スケール時に,5,engineering,3,The new schema might cause some issues at scale.,2025-11-09 08:54:35,2025-11-09 08:58:08
authentication,word,認証,5,engineering,3,Yesterday I wrapped up the code review for the authentication microservice,2025-11-09 08:54:35,2025-11-09 08:58:07
blockers,word,ブロッカー、障害,5,business,3,"If any blockers come up, don't hesitate to reach out on Slack",2025-11-09 08:54:35,2025-11-09 08:58:07
bottlenecks,word,ボトルネック,5,engineering,3,Did you run into any bottlenecks,2025-11-09 08:54:35,2025-11-09 08:58:07
call,word,呼び出し、判断,5,business,3,Sarah: Good call,2025-11-09 08:54:35,2025-11-09 08:58:07
code,word,コード,5,engineering,3,Yesterday I wrapped up the code review for the authentication microservice,2025-11-09 08:54:35,2025-11-09 08:58:07
code review,phrase,コードレビュー,5,engineering,3,Yesterday I wrapped up the code review for the authentication microservice.,2025-11-09 08:54:35,2025-11-09 08:58:08
dashboard,word,ダッシュボード,5,engineering,3,I'll take a look at the metrics dashboard and see what we can improve,2025-11-09 08:54:35,2025-11-09 08:58:07
database,word,データベース,5,engineering,3,"Mike: Not really, but we should keep an eye on the database performance",2025-11-09 08:54:35,2025-11-09 08:58:07
database performance,phrase,データベースのパフォーマンス,5,engineering,3,"Not really, but we should keep an eye on the database performance.",2025-11-09 08:54:35,2025-11-09 08:58:08
deep,word,深い、詳細な,5,engineering,3,"Lisa: Speaking of performance, I've been doing a deep dive into our monitoring setup",2025-11-09 08:54:35,2025-11-09 08:58:07
